index,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
10,Explainable AI For Dataset Comparison,A. Jain; J. Keller; M. Popescu,"Department of EECS, University of Missouri, Columbia, MO, USA; Department of EECS, University of Missouri, Columbia, MO, USA; Department of EECS, University of Missouri, Columbia, MO, USA",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2019,,,1,7,"With the increasing use of intelligent systems to make sense of data, lately, explainable AI systems are gaining a lot of traction. A distance measure that can distinguish data sets in linguistic terms can help AI systems in achieving explainability. We make use of Linguistic Protoform Summaries in tandem with Fuzzy Rules to design a system that can compare datasets numerically, as well as explain the difference in Natural Language. We validate our method with the help of synthetic data and show that it produces high correlation with the well-known Euclidean distance measure. We also employ the proposed method to explain changes in daily pulse rate measurements of an elderly resident living in a sensor equipped smart home. We postulate that the method will help in future endeavors to produce explainable pattern recognition systems.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858911,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858911,Explainable AI;Distance measure;Linguistic Protoform Summaries;Fuzzy Rules;Natural Language Generation,Linguistics;Artificial intelligence;Senior citizens;Histograms;Fuzzy logic,artificial intelligence;biomedical measurement;distance measurement;fuzzy set theory;geriatrics;home automation;medical computing;natural language processing,explainable AI systems;linguistic terms;Linguistic Protoform Summaries;Fuzzy Rules;Natural Language;synthetic data;Euclidean distance measure;daily pulse rate measurements;explainable pattern recognition systems;dataset comparison;intelligent systems;sensor equipped smart home,,,13.0,,,,,IEEE,IEEE Conferences
11,XAI-CBIR: Explainable AI System for Content based Retrieval of Video Frames from Minimally Invasive Surgery Videos,D. R. Chittajallu; B. Dong; P. Tunison; R. Collins; K. Wells; J. Fleshman; G. Sankaranarayanan; S. Schwaitzberg; L. Cavuoto; A. Enquobahrie,"Kitware Inc., Carrboro, NC, USA; Kitware Inc., Carrboro, NC, USA; Kitware Inc., Carrboro, NC, USA; Kitware Inc., Carrboro, NC, USA; Baylor University Medical Center, Dallas, TX; Baylor University Medical Center, Dallas, TX; Baylor University Medical Center, Dallas, TX; University At Buffalo, Buffalo, NY; University At Buffalo, Buffalo, NY; Kitware Inc., Carrboro, NC, USA",2019 IEEE 16th International Symposium on Biomedical Imaging (ISBI 2019),,2019,,,66,69,"In this paper, we present a human-in-the-loop explainable AI (XAI) system for content based image retrieval (CBIR) of video frames similar to a query image from minimally invasive surgery (MIS) videos for surgical education. It extracts semantic descriptors from MIS video frames using a self-supervised deep learning model. It then employs an iterative query refinement strategy where in a binary classifier trained online based on relevance feedback from the user is used to iteratively refine the search results. Lastly, it uses an XAI technique to generate a saliency map that provides a visual explanation of why the system considers a retrieved image to be similar to the query image. We evaluated the proposed XAI-CBIR system on the public Cholec80 dataset containing 80 videos of minimally invasive cholecystectomy surgeries with encouraging results.",1945-8452,978-1-5386-3641-1,10.1109/ISBI.2019.8759428,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8759428,Minimally invasive surgery;Content based video retrieval;Deep learning;Explainable AI;Surgical data science;Laparoscopy;Self-supervised learning,Semantics;Content-based retrieval;Training;Deep learning;Minimally invasive surgery,content-based retrieval;feature extraction;image classification;image retrieval;learning (artificial intelligence);medical image processing;relevance feedback;surgery;video signal processing,minimally invasive surgery videos;human-in-the-loop explainable AI system;content based image retrieval;query image;surgical education;semantic descriptors;MIS video frames;self-supervised deep learning model;iterative query refinement strategy;XAI technique;retrieved image;XAI-CBIR system;binary classifier;relevance feedback;public Cholec80 dataset;minimally invasive cholecystectomy surgeries;visual explanation,,,15.0,,,,,IEEE,IEEE Conferences
13,On the Need of Interpretability for Biomedical Applications: Using Fuzzy Models for Lung Cancer Prediction with Liquid Biopsy,N. Potie; S. Giannoukakos; M. Hackenberg; A. Fernandez,"Dept. of Computer Science and A.I., University of Granada, Granada, Spain; Dept. of Genetics, University of Granada, Granada, Spain; Dept. of Genetics, University of Granada, Granada, Spain; Dept. of Computer Science and A.I., University of Granada, Granada, Spain",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2019,,,1,6,"In the latter years, we are witnessing a movement from the standard Data Mining towards a more profitable and challenging scenario known as Data Science. It can be defined as a set of quantitative and qualitative approaches that are applied to current relevant problems. In order to be able to ""dig"" to the deepest level considering the whole information available, the knowledge domain and the analysis of the data must have a strong synergy.There are many fields of application where it is necessary, if not essential, to give an explanation of the phenomenon under study. It is no longer enough to simply apply a Machine Learning model, but it must be comprehensible in order to provide a real decision support system. For this reason, a strong movement has emerged in favour of the eXplainable Artificial Intelligence that aims to respond to the ""how"" and ""why"" of the operation of automatic models.In this work, our objective is to show the benefits of one of the learning paradigms of Computational Intelligence: Fuzzy Rule Based Systems and Evolutionary Fuzzy Systems. To this end, we focus on biomedical applications by presenting a case study based on lung cancer prediction from samples taken by liquid biopsy. Liquid biopsy enable us to study genomic alterations for each individual independently, a step towards personalised medicine. The results show the goodness of the solution based on Evolutionary Fuzzy Systems in terms of interpretability and comprehensibility, obtaining a low number of rules with less than 3 fuzzy linguistic labels per antecedent.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858976,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858976,eXplainable Artificial Intelligence;Evolutionary Fuzzy Systems;Lung Cancer;Liquid Biopsy;Interpretability,Cancer;Lung;Biopsy;Liquids;Blood;Tumors;Data mining,cancer;data mining;decision support systems;evolutionary computation;fuzzy set theory;fuzzy systems;genomics;knowledge based systems;learning (artificial intelligence);lung;medical computing,Computational Intelligence;Fuzzy Rule Based Systems;Evolutionary Fuzzy Systems;biomedical applications;lung cancer prediction;liquid biopsy;3 fuzzy linguistic labels;fuzzy models;standard Data Mining;Data Science;Machine Learning model;decision support system;eXplainable Artificial Intelligence;genomic alterations,,,29.0,,,,,IEEE,IEEE Conferences
14,Design of an explainable machine learning challenge for video interviews,H. J. Escalante; I. Guyon; S. Escalera; J. Jacques; M. Madadi; X. Baró; S. Ayache; E. Viegas; Y. Güçlütürk; U. Güçlü; M. A. J. van Gerven; R. van Lier,"ChaLearn, California, USA; ChaLearn, California, USA; Computer Vision Center, UAB, Barcelona, Spain; Computer Vision Center, UAB, Barcelona, Spain; Computer Vision Center, UAB, Barcelona, Spain; Computer Vision Center, UAB, Barcelona, Spain; Aix Marseille Univ, CNRS, LIF, Marseille, France; Microsoft Research, USA; Radboud University, Donders Institute for Brain, Cognition and Behaviour, Nijmegen, the Netherlands; Radboud University, Donders Institute for Brain, Cognition and Behaviour, Nijmegen, the Netherlands; Radboud University, Donders Institute for Brain, Cognition and Behaviour, Nijmegen, the Netherlands; Radboud University, Donders Institute for Brain, Cognition and Behaviour, Nijmegen, the Netherlands",2017 International Joint Conference on Neural Networks (IJCNN),,2017,,,3688,3695,"This paper reviews and discusses research advances on “explainable machine learning” in computer vision. We focus on a particular area of the “Looking at People” (LAP) thematic domain: first impressions and personality analysis. Our aim is to make the computational intelligence and computer vision communities aware of the importance of developing explanatory mechanisms for computer-assisted decision making applications, such as automating recruitment. Judgments based on personality traits are being made routinely by human resource departments to evaluate the candidates' capacity of social insertion and their potential of career growth. However, inferring personality traits and, in general, the process by which we humans form a first impression of people, is highly subjective and may be biased. Previous studies have demonstrated that learning machines can learn to mimic human decisions. In this paper, we go one step further and formulate the problem of explaining the decisions of the models as a means of identifying what visual aspects are important, understanding how they relate to decisions suggested, and possibly gaining insight into undesirable negative biases. We design a new challenge on explainability of learning machines for first impressions analysis. We describe the setting, scenario, evaluation metrics and preliminary outcomes of the competition. To the best of our knowledge this is the first effort in terms of challenges for explainability in computer vision. In addition our challenge design comprises several other quantitative and qualitative elements of novelty, including a “coopetition” setting, which combines competition and collaboration.",2161-4407,978-1-5090-6182-2,10.1109/IJCNN.2017.7966320,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7966320,,Computational modeling;Computer vision;Machine learning;Interviews;Predictive models;Natural language processing;Analytical models,computer vision;decision making;learning (artificial intelligence);recruitment;video signal processing,explainable machine learning challenge;video interviews;computer vision communities;Looking at People thematic domain;LAP thematic domain;first impressions analysis;personality analysis;computational intelligence;explanatory mechanisms;computer-assisted decision making applications;recruitment automation;personality traits;undesirable negative biases;learning machines;coopetition setting,,7.0,48.0,,,,,IEEE,IEEE Conferences
15,"Toward Human-Understandable, Explainable AI",H. Hagras,University of Essex,Computer,,2018,51,9.0,28,36,"Recent increases in computing power, coupled with rapid growth in the availability and quantity of data have rekindled our interest in the theory and applications of artificial intelligence (AI). However, for AI to be confidently rolled out by industries and governments, users want greater transparency through explainable AI (XAI) systems. The author introduces XAI concepts, and gives an overview of areas in need of further exploration-such as type-2 fuzzy logic systems-to ensure such systems can be fully understood and analyzed by the lay user.",1558-0814,,10.1109/MC.2018.3620965,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8481251,Future of AI;artificial intelligence;AI;intelligent systems;explainable artificial intelligence;machine leaning;Type-2 Fuzzy Logic Systems,Artificial intelligence;Machine learning;Learning systems;Fuzzy logic;Intelligent systems,artificial intelligence;fuzzy logic,computing power;artificial intelligence;XAI;type-2 fuzzy logic systems;AI systems;human-understandable,,6.0,19.0,,,,,IEEE,IEEE Magazines
16,An Explainable Artificial Intelligence Model for Clustering Numerical Databases,O. Loyola-González; A. E. Gutierrez-Rodríguez; M. A. Medina-Pérez; R. Monroy; J. F. Martínez-Trinidad; J. A. Carrasco-Ochoa; M. García-Borroto,"Tecnologico de Monterrey, Puebla, Mexico; Tecnologico de Monterrey, San Antonio Buenavista, Mexico; Tecnologico de Monterrey, Estado de Mexico, Mexico; Tecnologico de Monterrey, Estado de Mexico, Mexico; Instituto Nacional de Astrofísica, Óptica y Electrónica, Puebla, Mexico; Instituto Nacional de Astrofísica, Óptica y Electrónica, Puebla, Mexico; Instituto Superior Politécnico José Antonio Echeverría, Habana, Mexico",IEEE Access,,2020,8,,52370,52384,"Nowadays, the international scientific community of machine learning has an enormous campaign in favor of creating understandable models instead of black-box models. The main reason is that experts in the application area are showing reluctance due to black-box models cannot be understood by them, and consequently, their results are difficult to be explained. In unsupervised problems, where experts have not labeled objects, obtaining an explanation of the results is necessary because specialists in the application area need to understand both the applied model as well as the obtained results for finding the rationale behind each obtained clustering from a practical point of view. Hence, in this paper, we introduce a clustering based on decision trees (eUD3.5), which builds several decision trees from numerical databases. Unlike previous solutions, our proposal takes into account both separation and compactness for evaluating a feature split without decreasing time efficiency and with no empirical parameter to control the depth of the trees. We tested eUD3.5 on 40 numerical databases of UCI Machine Learning Repository, showing that our proposal builds a set of high-quality unsupervised decision trees for clustering, allowing us to obtain the best average ranking compared with other popular state-of-the-art clustering solutions. Also, from the collection of unsupervised decision trees induced by our proposal, a set of high-quality patterns are extracted for showing the main feature-value pairs describing each cluster.",2169-3536,,10.1109/ACCESS.2020.2980581,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9035478,Explainable model;clustering;unsupervised decision trees;numerical databases,Decision trees;Clustering algorithms;Databases;Proposals;Numerical models;Machine learning;Biological system modeling,decision trees;pattern classification;pattern clustering;unsupervised learning,explainable artificial intelligence model;international scientific community;black-box models;UCI Machine Learning Repository;numerical database clustering;unsupervised decision trees;eUD3.5,,,68.0,CCBY,,,,IEEE,IEEE Journals
17,Interval Type-2 Fuzzy Logic Based Stacked Autoencoder Deep Neural Network For Generating Explainable AI Models in Workforce Optimization,R. Chimatapu; H. Hagras; A. Starkey; G. Owusu,"The Computational Intelligence Centre, University of Essex, Colchester, UK; The Computational Intelligence Centre, University of Essex, Colchester, UK; Business Modelling and Operational Transformation Practice BT, Ipswich, UK; Business Modelling and Operational Transformation Practice BT, Ipswich, UK",2018 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2018,,,1,8,"In Utility based industries that employ a large mobile workforce, efficient utilization of field engineers is key to optimal service delivery. The utilization of the engineers can be improved by predicting the future performance of work areas by using machine learning tools such as Deep Neural Networks (DNNs).The dramatic success of DNNs has led to an explosion of its applications. However, the effectiveness of DNNs can be limited by the inability to explain how the models arrived at their predictions.In this paper, we present a novel Type-2 Fuzzy Logic System (FLS) whose inputs are preprocessed by a Stacked Autoencoder Neural Network to add some interpretability to a Deep Neural Network model. The proposed type-2 FLS will contain a small rule set with a small number of antecedents per rule to maximize the model's interpretability. We also present an algorithm which can be used to efficiently train the proposed model.We will compare the proposed model with a Standard Stacked Autoencoder Deep Neural Network, a Multi-Layer Perceptron (MLP) neural network and an Interval Type-2 Fuzzy Logic System.The results show that even though the Standard Stacked Autoencoder and MLP Neural Networks have better performance, they do not provide any insight into the reasoning behind the predictions. The Proposed model, on the other hand, provides better result than the standalone type-2 FLS and a comparable performance to the neural networks and provides a little bit of insight into the decision-making process. Without this insight, we cannot be sure why there is a drop in the performance and we need to further analyze the WA before we can take any decision. This leads to quicker decision making and potentially improving the efficiency of the engineers.",,978-1-5090-6020-7,10.1109/FUZZ-IEEE.2018.8491679,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491679,Type-2 fuzzy logic;Big Bang - Big Crunch;Deep Neural Networks;Explainable Artificial Intelligence,Fuzzy logic;Neural networks;Fuzzy sets;Optimization;Task analysis;Predictive models,decision making;fuzzy logic;fuzzy set theory;learning (artificial intelligence);multilayer perceptrons;optimisation,workforce optimization;mobile workforce;field engineers;optimal service delivery;machine learning tools;DNNs;standalone type-2 FLS;multilayer perceptron neural network;interval type-2 fuzzy logic system;MLP neural networks;utility based industries;explainable AI models;standard stacked autoencoder deep neural network;decision-making process,,,30.0,,,,,IEEE,IEEE Conferences
18,LEAFAGE: Example-based and Feature importance-based Explanations for Black-box ML models,A. Adhikari; D. M. J. Tax; R. Satta; M. Faeth,"Data Science Department, TNO, The Hague, The Netherlands; EEMCS Delft University of Technology, Delft, The Netherlands; Data Science Department, TNO, The Hague, The Netherlands; Data Science Department, TNO, The Hague, The Netherlands",2019 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2019,,,1,7,"Explainable Artificial Intelligence (XAI) is an emergent research field which tries to cope with the lack of transparency of AI systems, by providing human understandable explanations for the underlying Machine Learning models. This work presents a new explanation extraction method called LEAFAGE. Explanations are provided both in terms of feature importance and of similar classification examples. The latter is a well known strategy for problem solving and justification in social science. LEAFAGE leverages on the fact that the reasoning behind a single decision/prediction for a single data point is generally simpler to understand than the complete model; it produces explanations by generating simpler yet locally accurate approximations of the original model. LEAFAGE performs overall better than the current state of the art in terms of fidelity of the model approximation, in particular when Machine Learning models with non-linear decision boundaries are analysed. LEAFAGE was also tested in terms of usefulness for the user, an aspect still largely overlooked in the scientific literature. Results show interesting and partly counter-intuitive findings, such as the fact that providing no explanation is sometimes better than providing certain kinds of explanation.",1558-4739,978-1-5386-1728-1,10.1109/FUZZ-IEEE.2019.8858846,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858846,eXplainable AI;example-based reasoning;empirical study,Cognition;Training;Data models;Predictive models;Data science;Machine learning;Euclidean distance,feature extraction;learning (artificial intelligence);pattern classification,AI systems;human understandable explanations;machine learning models;explanation extraction method;similar classification examples;LEAFAGE leverages;single data point;locally accurate approximations;model approximation;nonlinear decision boundaries;example-based explanations;feature importance-based explanations;black-box ML models;explainable artificial intelligence;emergent research field,,,18.0,,,,,IEEE,IEEE Conferences
19,Visualization of Deep Reinforcement Learning using Grad-CAM: How AI Plays Atari Games?,H. Joo; K. Kim,"Institute of Integrated Technology GIST, Gwangju, South Korea; Institute of Integrated Technology GIST, Gwangju, South Korea",2019 IEEE Conference on Games (CoG),,2019,,,1,2,"Deep Reinforcement Learning (DRL) allows agents to learn strategies to solve complex tasks. It has been applied to solve various problems such as natural language processing, games, etc. However, it is still difficult to apply DRL to certain real-world problems because each action is not predictable, and we cannot know why the results are coming out. For this reason, a technology called eXplainable Artificial Intelligence (XAI) has been recently developed. As this technology shows a visualization of the AI process, people can easily understand the results of AI. In this paper, we proposed to use Grad-CAM, one of the XAI techniques, when we visualize the behaviors of AI players trained by DRL. Our experimental results show which part of the input state is focused on when one well-trained agent takes action.",2325-4289,978-1-7281-1884-0,10.1109/CIG.2019.8847950,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8847950,Explainable AI;Grad-CAM;Deep Reinforcement Learning,Visualization;Games;Reinforcement learning;Task analysis;Natural language processing;Insurance,computer games;learning (artificial intelligence);multi-agent systems;neural nets,DRL;AI process;Grad-CAM;AI players;explainable artificial intelligence;Atari games;deep reinforcement learning;XAI,,,5.0,,,,,IEEE,IEEE Conferences
20,Explainable AI for Understanding Decisions and Data-Driven Optimization of the Choquet Integral,B. Murray; M. A. Islam; A. J. Pinar; T. C. Havens; D. T. Anderson; G. Scott,"Electrical and Computer Engineering, Mississippi State University, Mississippi State, MS, USA; Electrical and Computer Engineering, Mississippi State University, Mississippi State, MS, USA; Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA; Electrical and Computer Engineering, Michigan Technological University, Houghton, MI, USA; Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA; Electrical Engineering and Computer Science, University of Missouri, Columbia, MO, USA",2018 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),,2018,,,1,8,"To date, numerous ways have been created to learn a fusion solution from data. However, a gap exists in terms of understanding the quality of what was learned and how trustworthy the fusion is for future-i.e., new-data. In part, the current paper is driven by the demand for so-called explainable AI (XAI). Herein, we discuss methods for XAI of the Choquet integral (ChI), a parametric nonlinear aggregation function. Specifically, we review existing indices, and we introduce new data-centric XAI tools. These various XAI-ChI methods are explored in the context of fusing a set of heterogeneous deep convolutional neural networks for remote sensing.",,978-1-5090-6020-7,10.1109/FUZZ-IEEE.2018.8491501,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491501,Choquet Integral;Fuzzy Integral;Explainable AI;Machine Learning,Frequency modulation;Indexes;Remote sensing;Optimization;Artificial intelligence;Electronic mail;Convolutional neural networks,convolution;feedforward neural nets;learning (artificial intelligence);optimisation;remote sensing;sensor fusion,data-driven optimization;Choquet integral;fusion solution;parametric nonlinear aggregation function;data-centric XAI tools;XAI-ChI methods;explainable AI;heterogeneous deep convolutional neural networks;remote sensing,,1.0,26.0,,,,,IEEE,IEEE Conferences
